rss,heapUsed,heapTotal,checktime
10833920,2314728,7195904,Mon May 13 2013 15:55:10 GMT-0700 (PDT)
11837440,2978384,7195904,Mon May 13 2013 15:55:20 GMT-0700 (PDT)
11845632,3142192,7195904,Mon May 13 2013 15:55:30 GMT-0700 (PDT)
11853824,3184016,7195904,Mon May 13 2013 15:55:40 GMT-0700 (PDT)
12111872,3221992,7195904,Mon May 13 2013 15:55:50 GMT-0700 (PDT)
12115968,3257208,7195904,Mon May 13 2013 15:56:00 GMT-0700 (PDT)
12115968,3286408,7195904,Mon May 13 2013 15:56:10 GMT-0700 (PDT)
12115968,3315544,7195904,Mon May 13 2013 15:56:20 GMT-0700 (PDT)
12115968,3344576,7195904,Mon May 13 2013 15:56:30 GMT-0700 (PDT)
12115968,3373592,7195904,Mon May 13 2013 15:56:40 GMT-0700 (PDT)
12115968,3402608,7195904,Mon May 13 2013 15:56:50 GMT-0700 (PDT)
12115968,3431624,7195904,Mon May 13 2013 15:57:00 GMT-0700 (PDT)
12115968,3460704,7195904,Mon May 13 2013 15:57:10 GMT-0700 (PDT)
12386304,3489720,7195904,Mon May 13 2013 15:57:20 GMT-0700 (PDT)
12386304,3518768,7195904,Mon May 13 2013 15:57:30 GMT-0700 (PDT)
12386304,3558720,7195904,Mon May 13 2013 15:57:40 GMT-0700 (PDT)
12386304,3587768,7195904,Mon May 13 2013 15:57:50 GMT-0700 (PDT)
12386304,3618288,7195904,Mon May 13 2013 15:58:00 GMT-0700 (PDT)
12386304,3647552,7195904,Mon May 13 2013 15:58:10 GMT-0700 (PDT)
12386304,3679240,7195904,Mon May 13 2013 15:58:20 GMT-0700 (PDT)
12656640,3737680,7195904,Mon May 13 2013 15:58:30 GMT-0700 (PDT)
12926976,3384760,7195904,Mon May 13 2013 15:58:40 GMT-0700 (PDT)
12926976,3426760,7195904,Mon May 13 2013 15:58:50 GMT-0700 (PDT)
12926976,3455808,7195904,Mon May 13 2013 15:59:00 GMT-0700 (PDT)
12926976,3484920,7195904,Mon May 13 2013 15:59:10 GMT-0700 (PDT)
