rss,heapUsed,heapTotal,checktime
11386880,2581360,7195904,Mon May 13 2013 12:15:04 GMT-0700 (PDT)
13160448,3519224,7195904,Mon May 13 2013 12:15:14 GMT-0700 (PDT)
13582336,3794248,7195904,Mon May 13 2013 12:15:24 GMT-0700 (PDT)
14139392,3267360,7195904,Mon May 13 2013 12:15:34 GMT-0700 (PDT)
14417920,3490440,8215808,Mon May 13 2013 12:15:44 GMT-0700 (PDT)
14503936,3602664,8215808,Mon May 13 2013 12:15:54 GMT-0700 (PDT)
14573568,3695208,8215808,Mon May 13 2013 12:16:04 GMT-0700 (PDT)
14594048,3788272,8215808,Mon May 13 2013 12:16:14 GMT-0700 (PDT)
14745600,3882944,8215808,Mon May 13 2013 12:16:24 GMT-0700 (PDT)
14966784,3971352,8215808,Mon May 13 2013 12:16:34 GMT-0700 (PDT)
14974976,4067608,8215808,Mon May 13 2013 12:16:44 GMT-0700 (PDT)
15147008,4168224,8215808,Mon May 13 2013 12:16:54 GMT-0700 (PDT)
15294464,4268208,8215808,Mon May 13 2013 12:17:04 GMT-0700 (PDT)
15929344,4418984,8215808,Mon May 13 2013 12:17:14 GMT-0700 (PDT)
15732736,4526936,8215808,Mon May 13 2013 12:17:24 GMT-0700 (PDT)
15785984,4612888,8215808,Mon May 13 2013 12:17:34 GMT-0700 (PDT)
15859712,3956504,10312960,Mon May 13 2013 12:17:44 GMT-0700 (PDT)
16158720,4067360,10312960,Mon May 13 2013 12:17:54 GMT-0700 (PDT)
16367616,4149504,10312960,Mon May 13 2013 12:18:04 GMT-0700 (PDT)
16384000,4231560,10312960,Mon May 13 2013 12:18:14 GMT-0700 (PDT)
16658432,4332472,10312960,Mon May 13 2013 12:18:24 GMT-0700 (PDT)
16785408,4419568,10312960,Mon May 13 2013 12:18:34 GMT-0700 (PDT)
16797696,4525144,10312960,Mon May 13 2013 12:18:44 GMT-0700 (PDT)
16855040,4607776,10312960,Mon May 13 2013 12:18:54 GMT-0700 (PDT)
16871424,4690408,10312960,Mon May 13 2013 12:19:04 GMT-0700 (PDT)
16916480,4773272,10312960,Mon May 13 2013 12:19:14 GMT-0700 (PDT)
16998400,4855904,10312960,Mon May 13 2013 12:19:24 GMT-0700 (PDT)
17408000,4954568,10312960,Mon May 13 2013 12:19:34 GMT-0700 (PDT)
17543168,5037200,10312960,Mon May 13 2013 12:19:44 GMT-0700 (PDT)
17625088,5119832,10312960,Mon May 13 2013 12:19:54 GMT-0700 (PDT)
