rss,heapUsed,heapTotal,checktime
13168640,3125632,7195904,Mon May 13 2013 12:14:59 GMT-0700 (PDT)
14082048,3735960,7195904,Mon May 13 2013 12:15:04 GMT-0700 (PDT)
14151680,3833224,7195904,Mon May 13 2013 12:15:09 GMT-0700 (PDT)
15056896,3402168,7195904,Mon May 13 2013 12:15:14 GMT-0700 (PDT)
15175680,3508072,8215808,Mon May 13 2013 12:15:19 GMT-0700 (PDT)
15220736,3654528,8215808,Mon May 13 2013 12:15:24 GMT-0700 (PDT)
15364096,3695376,8215808,Mon May 13 2013 12:15:29 GMT-0700 (PDT)
15376384,3770688,8215808,Mon May 13 2013 12:15:34 GMT-0700 (PDT)
15441920,3803048,8215808,Mon May 13 2013 12:15:39 GMT-0700 (PDT)
15446016,3869600,8215808,Mon May 13 2013 12:15:44 GMT-0700 (PDT)
15499264,3897568,8215808,Mon May 13 2013 12:15:49 GMT-0700 (PDT)
15769600,3968320,8215808,Mon May 13 2013 12:15:54 GMT-0700 (PDT)
15794176,3995040,8215808,Mon May 13 2013 12:15:59 GMT-0700 (PDT)
15794176,4044792,8215808,Mon May 13 2013 12:16:04 GMT-0700 (PDT)
15802368,4071304,8215808,Mon May 13 2013 12:16:09 GMT-0700 (PDT)
15806464,4127360,8215808,Mon May 13 2013 12:16:14 GMT-0700 (PDT)
15900672,4158608,8215808,Mon May 13 2013 12:16:19 GMT-0700 (PDT)
15904768,4209288,8215808,Mon May 13 2013 12:16:24 GMT-0700 (PDT)
15945728,4235728,8215808,Mon May 13 2013 12:16:29 GMT-0700 (PDT)
15945728,4293016,8215808,Mon May 13 2013 12:16:34 GMT-0700 (PDT)
16007168,4319272,8215808,Mon May 13 2013 12:16:39 GMT-0700 (PDT)
16007168,4369104,8215808,Mon May 13 2013 12:16:44 GMT-0700 (PDT)
16011264,4418368,8215808,Mon May 13 2013 12:16:49 GMT-0700 (PDT)
16486400,4493824,8215808,Mon May 13 2013 12:16:54 GMT-0700 (PDT)
16494592,4522896,8215808,Mon May 13 2013 12:16:59 GMT-0700 (PDT)
16498688,4570624,8215808,Mon May 13 2013 12:17:04 GMT-0700 (PDT)
16498688,4621048,8215808,Mon May 13 2013 12:17:09 GMT-0700 (PDT)
16523264,4675632,8215808,Mon May 13 2013 12:17:14 GMT-0700 (PDT)
16539648,4701920,8215808,Mon May 13 2013 12:17:19 GMT-0700 (PDT)
16539648,4778352,8215808,Mon May 13 2013 12:17:24 GMT-0700 (PDT)
16670720,4114216,10312960,Mon May 13 2013 12:17:29 GMT-0700 (PDT)
16691200,4164112,10312960,Mon May 13 2013 12:17:34 GMT-0700 (PDT)
16695296,4191232,10312960,Mon May 13 2013 12:17:39 GMT-0700 (PDT)
16699392,4248544,10312960,Mon May 13 2013 12:17:44 GMT-0700 (PDT)
16711680,4275464,10312960,Mon May 13 2013 12:17:49 GMT-0700 (PDT)
16728064,4349592,11344896,Mon May 13 2013 12:17:54 GMT-0700 (PDT)
16732160,4375920,11344896,Mon May 13 2013 12:17:59 GMT-0700 (PDT)
16732160,4433480,11344896,Mon May 13 2013 12:18:04 GMT-0700 (PDT)
16744448,4462456,11344896,Mon May 13 2013 12:18:09 GMT-0700 (PDT)
16748544,4531456,11344896,Mon May 13 2013 12:18:14 GMT-0700 (PDT)
16982016,4558592,11344896,Mon May 13 2013 12:18:19 GMT-0700 (PDT)
16982016,4606584,11344896,Mon May 13 2013 12:18:24 GMT-0700 (PDT)
16990208,4634336,11344896,Mon May 13 2013 12:18:29 GMT-0700 (PDT)
16994304,4692736,11344896,Mon May 13 2013 12:18:34 GMT-0700 (PDT)
17006592,4723456,11344896,Mon May 13 2013 12:18:39 GMT-0700 (PDT)
17010688,4771448,11344896,Mon May 13 2013 12:18:44 GMT-0700 (PDT)
17010688,4797760,11344896,Mon May 13 2013 12:18:49 GMT-0700 (PDT)
17035264,4845720,11344896,Mon May 13 2013 12:18:54 GMT-0700 (PDT)
17080320,4872856,11344896,Mon May 13 2013 12:18:59 GMT-0700 (PDT)
17080320,4920880,11344896,Mon May 13 2013 12:19:04 GMT-0700 (PDT)
17125376,4947544,11344896,Mon May 13 2013 12:19:09 GMT-0700 (PDT)
17149952,4995568,11344896,Mon May 13 2013 12:19:14 GMT-0700 (PDT)
17494016,5036072,11344896,Mon May 13 2013 12:19:19 GMT-0700 (PDT)
17555456,5109984,11344896,Mon May 13 2013 12:19:24 GMT-0700 (PDT)
17637376,5137112,11344896,Mon May 13 2013 12:19:29 GMT-0700 (PDT)
17666048,5186984,11344896,Mon May 13 2013 12:19:34 GMT-0700 (PDT)
17715200,5224008,11344896,Mon May 13 2013 12:19:39 GMT-0700 (PDT)
17874944,5272512,11344896,Mon May 13 2013 12:19:44 GMT-0700 (PDT)
17920000,5300144,11344896,Mon May 13 2013 12:19:49 GMT-0700 (PDT)
18214912,5388592,11344896,Mon May 13 2013 12:19:54 GMT-0700 (PDT)
18280448,5414928,11344896,Mon May 13 2013 12:19:59 GMT-0700 (PDT)
18309120,5463176,11344896,Mon May 13 2013 12:20:04 GMT-0700 (PDT)
18366464,5489272,11344896,Mon May 13 2013 12:20:09 GMT-0700 (PDT)
18391040,5537488,11344896,Mon May 13 2013 12:20:14 GMT-0700 (PDT)
18436096,5564344,11344896,Mon May 13 2013 12:20:19 GMT-0700 (PDT)
18460672,5645760,11344896,Mon May 13 2013 12:20:24 GMT-0700 (PDT)
18587648,5680120,11344896,Mon May 13 2013 12:20:29 GMT-0700 (PDT)
18620416,5728672,11344896,Mon May 13 2013 12:20:34 GMT-0700 (PDT)
18669568,5754672,11344896,Mon May 13 2013 12:20:39 GMT-0700 (PDT)
18698240,5820432,11344896,Mon May 13 2013 12:20:44 GMT-0700 (PDT)
18792448,5846432,11344896,Mon May 13 2013 12:20:49 GMT-0700 (PDT)
18821120,5897600,11344896,Mon May 13 2013 12:20:55 GMT-0700 (PDT)
18870272,5924776,11344896,Mon May 13 2013 12:20:59 GMT-0700 (PDT)
19165184,5982616,11344896,Mon May 13 2013 12:21:05 GMT-0700 (PDT)
19185664,6008712,11344896,Mon May 13 2013 12:21:09 GMT-0700 (PDT)
19214336,6059384,11344896,Mon May 13 2013 12:21:15 GMT-0700 (PDT)
19267584,6085416,11344896,Mon May 13 2013 12:21:19 GMT-0700 (PDT)
19562496,4771696,11344896,Mon May 13 2013 12:21:25 GMT-0700 (PDT)
19701760,4797784,11344896,Mon May 13 2013 12:21:29 GMT-0700 (PDT)
19705856,4849920,11344896,Mon May 13 2013 12:21:35 GMT-0700 (PDT)
19714048,4876776,11344896,Mon May 13 2013 12:21:39 GMT-0700 (PDT)
19714048,4924992,11344896,Mon May 13 2013 12:21:45 GMT-0700 (PDT)
19718144,4953136,11344896,Mon May 13 2013 12:21:49 GMT-0700 (PDT)
19722240,5001320,11344896,Mon May 13 2013 12:21:55 GMT-0700 (PDT)
19722240,5027352,11344896,Mon May 13 2013 12:21:59 GMT-0700 (PDT)
19726336,5075536,11344896,Mon May 13 2013 12:22:05 GMT-0700 (PDT)
19763200,5101784,11344896,Mon May 13 2013 12:22:09 GMT-0700 (PDT)
19763200,5152848,11344896,Mon May 13 2013 12:22:15 GMT-0700 (PDT)
20115456,5223808,11344896,Mon May 13 2013 12:22:19 GMT-0700 (PDT)
20209664,5279512,11344896,Mon May 13 2013 12:22:25 GMT-0700 (PDT)
20217856,5305544,11344896,Mon May 13 2013 12:22:29 GMT-0700 (PDT)
20217856,5363352,11344896,Mon May 13 2013 12:22:35 GMT-0700 (PDT)
20250624,5389384,11344896,Mon May 13 2013 12:22:39 GMT-0700 (PDT)
20250624,5437664,11344896,Mon May 13 2013 12:22:45 GMT-0700 (PDT)
20254720,5463696,11344896,Mon May 13 2013 12:22:49 GMT-0700 (PDT)
20254720,5511880,11344896,Mon May 13 2013 12:22:55 GMT-0700 (PDT)
20287488,5538704,11344896,Mon May 13 2013 12:22:59 GMT-0700 (PDT)
20316160,5586920,11344896,Mon May 13 2013 12:23:05 GMT-0700 (PDT)
20369408,5613016,11344896,Mon May 13 2013 12:23:09 GMT-0700 (PDT)
20389888,5667208,11344896,Mon May 13 2013 12:23:15 GMT-0700 (PDT)
20475904,5693240,11344896,Mon May 13 2013 12:23:19 GMT-0700 (PDT)
20500480,5741424,11344896,Mon May 13 2013 12:23:25 GMT-0700 (PDT)
20557824,5767456,11344896,Mon May 13 2013 12:23:29 GMT-0700 (PDT)
20582400,5815792,11344896,Mon May 13 2013 12:23:35 GMT-0700 (PDT)
20668416,5842648,11344896,Mon May 13 2013 12:23:39 GMT-0700 (PDT)
20701184,5894824,11344896,Mon May 13 2013 12:23:45 GMT-0700 (PDT)
20914176,5920856,11344896,Mon May 13 2013 12:23:49 GMT-0700 (PDT)
